id,sentiment,kfold,lr_cnt_pred
11703_9,1,0,0.9996652110471953
6742_8,1,0,0.9866726246962496
10071_1,0,0,0.4653006313356506
9841_7,1,0,0.9999992180948313
11579_10,1,0,0.9851555901485298
5216_8,1,0,0.985235391386234
1683_7,1,0,0.006576467079483683
818_4,0,0,0.9940245121282567
11779_3,0,0,0.021168044198216097
27_1,0,0,2.0247570297526453e-11
4511_9,1,0,0.9614871647194217
1268_7,1,0,0.9585065244460268
11633_1,0,0,0.005364779626647364
3776_4,0,0,0.7956607654953682
9233_4,0,0,0.4548782721146119
1542_4,0,0,0.0006966161295141892
4450_3,0,0,0.01603389642709941
1778_10,1,0,0.04068413858288218
4851_7,1,0,0.9243934968676351
2592_3,0,0,0.9997335057639992
6921_1,0,0,1.1578519719361343e-07
528_9,1,0,0.9999996825853449
2104_7,1,0,0.9797787860970244
7353_1,0,0,0.16404883820757332
11631_7,1,0,1.0
943_2,0,0,0.5400017772854808
5085_7,1,0,0.9886912780812306
5198_3,0,0,1.2271289887692877e-05
11646_4,0,0,0.004883546387841924
2355_7,1,0,0.8178116927345694
5992_7,1,0,0.9974288378671529
6996_4,0,0,0.03323171609819026
1210_8,1,0,0.7440798149949819
4660_7,1,0,0.9718777110788972
691_9,1,0,0.9999569754758205
3315_1,0,0,1.1305071880493752e-05
4327_8,1,0,0.07344048495934556
8959_1,0,0,1.6005274984748923e-05
4466_8,1,0,0.9999999984669725
5960_4,0,0,1.2865643259460457e-08
8514_1,0,0,0.006437235973742215
4862_1,0,0,0.0037799097961699842
3521_1,0,0,0.0008111890470227945
1805_1,0,0,0.002692347024573244
4063_2,0,0,0.0007316058457795184
6050_10,1,0,0.999983346155303
1036_9,1,0,0.9938240213348498
685_1,0,0,0.00010355815898478413
8308_7,1,0,0.9414155283779005
9485_10,1,0,0.9503546572127477
3566_9,1,0,0.9999670187971035
4259_9,1,0,0.999810908334079
7967_9,1,0,0.9999971470325328
3489_10,1,0,0.9996488151938001
6641_8,1,0,0.004695382772852548
1786_4,0,0,0.0035995003629522783
2749_1,0,0,0.05245896529454079
5212_3,0,0,0.012853680885936396
11273_9,1,0,0.9999980510101116
6077_1,0,0,2.6548721652407232e-05
2347_10,1,0,0.998880778798451
5302_9,1,0,0.9672591980326074
8912_4,0,0,4.92889307565451e-07
10463_10,1,0,0.9999999999999574
7286_8,1,0,0.9833783047263698
4860_10,1,0,0.9999999990056814
8662_8,1,0,0.9999999727572294
9253_4,0,0,3.742196097836126e-05
2474_10,1,0,0.9999998111735234
2343_4,0,0,8.247785530708533e-05
7929_4,0,0,0.044336108703304206
9994_2,0,0,5.871073480878405e-07
9115_10,1,0,0.971505036987882
7498_10,1,0,0.9642394720290162
